source_id,study_id,title,year,doi,pmid,pmcid,source_path_or_url,content_level,source_type,access_date,extraction_method,notes
SRC_40071762,STU_40071762,Acute Effect of Moderate-Intensity Interval Intradialytic Exercise on Cerebral Oxygenation in Hemodialysis Patients: A Randomized Crossover Trial.,2025,10.1681/ASN.0000000672,40071762,PMC12416941,../PDF2MD0708/40071762.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_40191173,STU_40191173,Detection of cognitive load during computer-aided education using infrared sensors.,2025,10.1007/s11571-025-10242-0,40191173,PMC11971117,../PDF2MD0708/40191173.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_40220585,STU_40220585,Linking brain activation to standing balance performance: A systematic review and meta analysis of functional near-infrared spectroscopy literature.,2025,10.1016/j.gaitpost.2025.04.009,40220585,,../PDF2MD0708/40220585.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_40316680,STU_40316680,Cerebrovascular autoregulation and preterm brain injury: a systematic review and meta-analysis.,2025,10.1038/s41390-025-04087-w,40316680,,../PDF2MD0708/40316680.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_40490003,STU_40490003,Speech imagery brain-computer interfaces: a systematic literature review.,2025,10.1088/1741-2552/ade28e,40490003,,../PDF2MD0708/40490003.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_40606568,STU_40606568,Protocol for Simultaneous EEG and fNIRS Measurement in Characterizing Brain State.,2024,10.1007/s43657-023-00148-4,40606568,PMC12209161,../PDF2MD0708/40606568.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_40845933,STU_40845933,Neural correlates of social motor coordination in autism: A systematic review and meta-analysis of fNIRS studies.,2025,10.1016/j.neubiorev.2025.106347,40845933,,../PDF2MD0708/40845933.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_40868943,STU_40868943,Near-Infrared Spectroscopy Patterns as Indicator of Perioperative Stroke in Acute Type A Aortic Dissection.,2025,10.3390/life15081295,40868943,PMC12387521,../PDF2MD0708/40868943.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_41025408,STU_41025408,Nocturnal cerebral oxygenation in patients with COPD at altitude: data from a randomized clinical trial of acetazolamide.,2025,10.5664/jcsm.11868,41025408,PMC12670622,../PDF2MD0708/41025408.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_41082128,STU_41082128,Brain connectivity changes associated with acute sleep deprivation: a systematic review.,2025,10.1007/s10072-025-08517-9,41082128,,../PDF2MD0708/41082128.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
